,Healthexp.GDP,LifeExp,Airpassengerspertotpopulation,InternetUsersPer100,AgricultureLand.area,CerealProdM3tonspertotpopulation,ForestArea.area,Urbanpop.total,FoodprodIndex,CompulsoryEdYears,MobileCellSubspertotpopulation,logHealthexppercapita,logCO2emKgper2010USofGDP,logPopDensityperSqKmland,logAdolesfertilityper1000,logGDPperCapCurrUS.,logUnemployment.rate,logFixedBroadSubspertotpopulation,logCaptureFishprodM3tonspertotpopulation,logIntTourismArrivalpertotpopulation,Olympics,Nuclear,Flag.Colours,Official.Languages,Coastline,Continent
France,8.91,82.22,0.968972549,81.92,52.55,1.023103464,30.61,79.06,98.64,11,0.959860348,8.38250227,-2.120263536,4.791483764,2.227861547,10.65893325,2.34180577,-0.97275894,-4.758202142,0.237218256,Y,Y,tricolour,low,Y,Europe
Gabon,2.93,63.84,0,9.2,20.03,0.028297011,87.71,86.66,120.91,10,1.663421296,6.508858552,-1.272965676,1.85629799,4.670114875,9.274138306,3.010620849,-5.222692032,-3.808695009,-0.3067612,N,N,tricolour,medium,Y,Africa
"Gambia, The",4.18,60,0.078625384,14,59.78,0.121964585,47.91,58.37,97.36,9,0.990345379,4.671238786,-0.713349888,5.217486849,4.742320024,6.182312154,1.945910149,-8.357560423,-3.754079912,-2.390359237,N,N,multicolour,medium,Y,Africa
Georgia,1.28,74.51,0.050136653,43.3,36.72,0.129210805,40.62,53.31,86.89,9,1.322330244,6.346162538,-0.597837001,4.19056342,3.782597458,8.360394342,2.681021555,-1.988511121,-5.745697566,0.356251126,N,N,two-colour,low,Y,Asia
Germany,8.57,80.84,1.327878557,84.17,47.86,0.581462307,32.72,74.89,107.37,12,1.217955034,8.484105791,-1.560647748,5.443110111,2.013568798,10.7295995,1.667706857,-1.053464065,-5.856051526,-0.956921778,Y,N,tricolour,low,Y,Europe
Ghana,3.24,61.14,0.015149268,12.3,69,0.104948313,40.78,52.74,143.71,11,1.071167224,5.19473305,-1.078809661,4.744845168,4.23236586,7.510485289,0.587786638,-5.941025077,-4.461894771,-3.270418993,N,N,multicolour,low,Y,Africa
Greece,6.07,81.29,0.798992012,59.87,63.66,0.446585022,30.98,77.34,87.84,9,1.18554855,7.765178844,-1.272965676,4.443474447,2.091864062,9.993091483,3.303217001,-1.325478582,-5.140959492,0.491189783,Y,N,two-colour,low,Y,Europe
Grenada,2.78,73.19,0.877376463,35,23.53,0.003777077,49.97,35.58,96.29,12,1.255878076,6.574378247,-0.94160854,5.741335131,3.5094537,8.981699237,2.222459054,-1.772142383,-3.671115924,0.091076053,N,N,tricolour,low,Y,Northern America
Guatemala,2.32,71.49,0.004987893,19.7,34.72,0.119643093,33.71,50.66,151.25,10,1.384019087,6.115737588,-1.203972804,4.986479204,4.415461411,8.140904288,1.098612289,-3.794854381,-6.570423412,-2.467143572,N,N,two-colour,high,Y,Northern America
Guinea,2.38,58.22,0.034510076,1.6,59.01,0.287541952,26.19,36.21,123.52,6,0.622365179,4.214495163,-0.820980552,3.884240624,4.9682148,6.256785973,0.530628279,-9.610817939,-4.338773984,-5.363028276,N,N,tricolour,low,Y,Africa
Guinea-Bissau,1.63,54.84,0.056282557,3.1,57.97,0.150351879,70.84,47.75,140.74,9,0.53490904,4.629667658,-1.272965676,4.135006544,4.556400022,6.37038032,1.91692264,-7.098499406,-5.568289981,-3.110232115,N,N,multicolour,low,Y,Africa
Guyana,2.9,66.31,0,35,8.53,1.087732069,84.05,28.38,129.94,6,0.729317914,5.859332175,-0.301105093,1.353254507,4.491553459,8.276109677,2.406945143,-3.026465168,-2.737401934,-1.572081686,N,N,multicolour,low,Y,South America
Haiti,1.72,62.4,0.061475539,10.6,66.76,0.058796219,3.58,56.17,121.01,6,0.68641828,4.915738362,-1.139434283,5.936189652,3.700560959,6.69741689,1.91692264,-4.841407336,-6.448595229,-3.212306575,N,N,tricolour,medium,Y,Northern America
Honduras,4.46,72.94,0.047518053,17.8,28.91,0.087491634,43.19,53.54,118.59,12,0.989575311,6.004208003,-0.653926467,4.250635807,4.20543861,7.758196764,1.360976577,-4.734172877,-6.495905265,-2.207734237,N,N,two-colour,low,Y,Northern America
Hungary,4.91,75.57,1.407704899,72.64,58.99,1.375699706,22.75,70.31,88.77,8,1.171558671,7.47691962,-1.171182982,4.693913396,2.929592471,9.518824572,2.322387702,-1.337417568,-7.332105086,0.071279868,N,N,tricolour,low,N,Europe
Iceland,7.07,82.06,8.038923413,96.55,18.68,0.804727353,0.46,93.94,114.21,10,1.10038176,8.215404081,-1.966112856,1.172482137,1.989243274,10.76834287,1.722766581,-1.013857412,1.452604835,0.913308813,N,N,tricolour,low,Y,Europe
India,1.29,67.66,0.059077091,15.1,60.41,0.229730566,23.65,31.99,138.76,8,0.692696385,5.481138798,0.019802627,6.064598831,3.334345075,7.283585582,1.280933819,-4.451007221,-5.618393163,-5.212895552,N,Y,multicolour,low,Y,Asia
Indonesia,1.15,68.7,0.325235471,14.94,31.46,0.357353369,50.99,52.25,137.48,9,1.246583608,5.678293712,-0.634878272,4.932313327,3.926911618,8.197447877,1.840549664,-4.347312523,-3.725439792,-3.35154222,N,N,two-colour,low,Y,Asia
"Iran, Islamic Rep.",2.73,75.13,0.214909819,29.95,28.3,0.212935015,6.56,72.32,113.29,8,0.845679213,6.951781734,0.329303747,3.857989117,3.327191968,8.799556142,2.557227282,-2.704622682,-4.927099249,-2.783646628,N,N,tricolour,low,Y,Asia
Iraq,3.72,69.18,0.01397012,9.2,21.26,0.190594431,1.9,69.26,126.07,6,0.951407388,6.652088536,-0.072570693,4.363480717,4.40207433,8.836330325,2.714694769,-3.407584647,-6.396799864,-3.643802537,N,N,multicolour,medium,Y,Asia
Ireland,5.33,81,20.31362849,78.25,64.99,0.522519874,10.78,62.67,99.15,10,1.061435393,8.232663478,-1.832581464,4.200954297,2.43798973,10.85966743,2.572612259,-1.352394463,-2.813220951,0.585739223,N,N,tricolour,medium,Y,Europe
Israel,4.86,82.06,0.690596687,70.25,24.04,0.038495316,7.42,92.01,110.2,13,1.178733172,7.852396316,-1.30933332,5.920075951,2.380471632,10.50215014,1.840549664,-1.392205461,-8.309996112,-1.000986805,N,Y,two-colour,low,Y,Asia
Italy,6.97,82.69,0.462301093,58.46,46.34,0.302398641,31.24,68.69,94.8,12,1.608114862,8.088706099,-1.771956842,5.321936232,1.829376333,10.47362692,2.501435936,-1.458252356,-5.82467025,-0.233220862,Y,N,tricolour,low,Y,Europe
Jamaica,3.38,75.49,0.017045172,37.1,41,0.001107686,31.02,54.34,106.08,6,1.048450474,6.242417799,-0.544727175,5.545450845,4.132442851,8.56770378,2.708050201,-2.958971237,-5.020898531,-0.301530829,N,N,tricolour,low,Y,Northern America
Japan,8.53,83.33,0.844779056,88.22,12.45,0.092560999,68.47,92.49,97.94,9,1.16137266,8.219630466,-1.560647748,5.855902523,1.470175845,10.60876684,1.386294361,-1.243396808,-3.527562797,-2.508511587,Y,N,two-colour,low,Y,Asia
Jordan,4.87,73.9,0.456685755,41.4,11.9,0.014296521,1.1,83.21,136.66,10,1.42955179,6.637362875,-0.139262067,4.397776945,3.214064268,8.445959239,2.533696844,-3.089716611,-9.158326837,-0.603689952,N,N,multicolour,low,Y,Asia
Kazakhstan,2.19,70.45,0.280922263,63,80.38,1.065834276,1.23,53.36,125.45,10,1.782471959,6.901988684,0.39877612,1.842135677,3.400530493,9.538986349,1.648658589,-2.16294241,-6.196532452,-1.240758895,N,N,two-colour,medium,Y,Asia
Kenya,3.35,60.95,0.103369242,39,48.55,0.103837099,7.63,24.78,122.89,12,0.728494031,5.062848166,-1.272965676,4.340813939,4.530877581,7.139731705,2.208274455,-6.378931596,-5.589339143,-3.416717437,N,N,multicolour,medium,Y,Africa
Kiribati,8.23,65.77,0.859017215,11.5,41.98,0.168321817,15,44.06,120.81,9,0.184257075,5.180096735,-1.021651248,4.8978398,2.972975286,7.452530053,1.977824012,-5.043830509,-0.286172305,-2.912203275,N,N,multicolour,low,Y,Australia
"Korea, Rep.",3.91,81.71,1.085831629,84.77,18.15,0.115693375,63.6,82.25,104.03,9,1.088833142,7.774948199,-0.693147181,6.24465222,0.548121409,10.16577028,1.131402081,-0.985879153,-3.445276268,-1.416939961,N,N,multicolour,low,Y,Asia
Kuwait,2.17,74.47,0.902917587,75.46,8.62,0.009253444,0.35,98.31,170.19,9,1.78368245,7.584925505,-0.328504067,5.306632698,2.38416508,10.78855899,1.163150825,-4.336786918,-6.653730305,-2.460086783,N,N,multicolour,low,Y,Asia
Kyrgyz Republic,3.88,70.2,0.134828485,23,55.04,0.302165361,3.4,35.48,112.19,9,1.177964718,5.367516883,0.559615788,3.395179309,3.708682081,7.156519792,2.116255538,-3.73752976,-10.77098812,-0.620268821,N,N,two-colour,medium,N,Asia
