"","Country","Healthexp.GDP","Healthexppercap","LifeExp","Airpassengers","MobileCellSubs","InternetUsersPer100","FixedBroadSubs","AgricultureLand.area","C02emKgper2010USofGDP","CerealProdM3tons","CaptureFishprodM3tons","ForestArea.area","PopDensityperSqKmland","Urbanpop.total","TotalPopulation","Adolesfertilityper1000","FoodprodIndex","CompulsoryEdYears","GDPperCapCurrUS.","IntTourismArrival","IntTourismExp","Unemployment.rate","Olympics","Nuclear","Flag Colours","Official Languages","Coastline","Continent"
"129","Pakistan",0.99,127.41,65.96,7833901.09,127737286,10.9,1628105,47.06,0.78,36449810,474902,2.02,235.05,37.86,181192646,39.99,93.78,12,1276.09,8446760,1.08e+09,5.099999905,"N","Y","two-colour","low","Y","Asia"
"130","Palau",6.6,1355.22,72.5844,1249129.9396,17945,50.3681,1805,10.87,1.15,798595.37,900,87.61,45.48,85.78,20919,36.299,115.8375,12,10932.64,105000,10200000,12.29200007418,"N","N","two-colour","high","Y","Australia"
"131","Panama",5.8,1594.07,77.42,11656416,6204636,44.03,307266,30.36,0.28,466648,199964,62.55,51.19,65.99,3805683,76.92,116.7,11,11786.63,1658000,6.19e+08,4.099999905,"N","N","tricolour","low","Y","Northern America"
"132","Papua New Guinea",3.91,126.5,62.45,1870968,3e+06,5.1,11300,2.63,0.5,18100,213682.47,74.12,16.14,12.98,7308864,56.07,118.18,8.42,2108.83,174000,1.53e+08,2.5,"N","N","multicolour","medium","Y","Australia"
"133","Paraguay",4.78,893.45,72.8,711548.47,7053297,36.9,156576,54.58,0.21,6272392,17000,40.21,16.27,59.17,6465669,59.11,176.24,13,4479.96,610000,2.43e+08,5,"N","N","tricolour","medium","N","South America"
"134","Peru",3.05,612.1,74.28,12255937.76,29793297,39.2,1612812,19.04,0.32,5246246,5876436,58.05,23.88,77.95,30565461,50.91,146.76,14,6580.98,3164000,1.6e+09,4,"N","N","two-colour","medium","Y","South America"
"135","Philippines",1.45,300.39,68.13,25540880,102823569,37,2572800,41.72,0.42,25817179,2335404,25.35,327.24,44.63,97571676,58.88,121.55,13,2786.01,4681000,7.83e+09,7.099999905,"N","N","multicolour","medium","Y","Asia"
"136","Poland",4.53,1529.92,77,5002975.75,56972803,62.85,7031055,47.06,0.58,28455154,214170,30.67,124.23,60.62,38040196,14.19,107.48,12,13780.55,15800000,8.82e+09,10.39999962,"N","N","two-colour","low","Y","Europe"
"137","Portugal",6.23,2634.13,80.72,11860998,11990993,62.1,2563356,40.57,0.21,1240159,196570,34.99,114.16,62.34,10457295,11.12,104.17,9,21618.74,8097000,4.14e+09,16.5,"N","N","multicolour","medium","Y","Europe"
"138","Qatar",1.85,2916.95,78.42,18737348,3310353,85.3,215487,5.73,0.55,1975,12006,0,180.99,99.06,2101288,11.29,136.74,9,94574.26,2611000,6.62e+09,0.300000012,"N","N","two-colour","low","Y","Asia"
